,riskparity_nested,uniform
2019-01-01,100.0,100.0
2019-01-02,100.0,100.0
2019-01-03,100.0,100.0
2019-01-04,100.0,100.0
2019-01-07,100.0,100.0
2019-01-08,100.0,100.0
2019-01-09,100.0,100.0
2019-01-10,100.0,100.0
2019-01-11,100.0,100.0
2019-01-14,100.0,100.0
2019-01-15,100.0,100.0
2019-01-16,100.0,100.0
2019-01-17,100.0,100.0
2019-01-18,100.0,100.0
2019-01-21,100.0,100.0
2019-01-22,100.0,100.0
2019-01-23,100.0,100.0
2019-01-24,100.0,100.0
2019-01-25,100.0,100.0
2019-01-28,100.0,100.0
2019-01-29,100.0,100.0
2019-01-30,100.0,100.0
2019-01-31,100.0,100.0
2019-02-01,100.0,100.0
2019-02-04,100.0,100.0
2019-02-05,100.0,100.0
2019-02-06,100.0,100.0
2019-02-07,100.0,100.0
2019-02-08,100.0,100.0
2019-02-11,100.0,100.0
2019-02-12,100.0,100.0
2019-02-13,100.0,100.0
2019-02-14,100.0,100.0
2019-02-15,100.0,100.0
2019-02-18,100.0,100.0
2019-02-19,100.0,100.0
2019-02-20,100.0,100.0
2019-02-21,100.0,100.0
2019-02-22,100.0,100.0
2019-02-25,100.0,100.0
2019-02-26,100.0,100.0
2019-02-27,100.0,100.0
2019-02-28,100.0,100.0
2019-03-01,100.0,100.0
2019-03-04,100.0,100.0
2019-03-05,100.0,100.0
2019-03-06,100.0,100.0
2019-03-07,100.0,100.0
2019-03-08,100.0,100.0
2019-03-11,100.0,100.0
2019-03-12,100.0,100.0
2019-03-13,100.0,100.0
2019-03-14,100.0,100.0
2019-03-15,100.0,100.0
2019-03-18,100.0,100.0
2019-03-19,100.0,100.0
2019-03-20,100.0,100.0
2019-03-21,100.0,100.0
2019-03-22,100.0,100.0
2019-03-25,100.0,100.0
2019-03-26,100.0,100.0
2019-03-27,100.0,100.0
2019-03-28,100.0,100.0
2019-03-29,100.0,100.0
2019-04-01,100.0,100.0
2019-04-02,100.0,100.0
2019-04-03,100.0,100.0
2019-04-04,100.0,100.0
2019-04-05,100.0,100.0
2019-04-08,100.0,100.0
2019-04-09,100.0,100.0
2019-04-10,100.0,100.0
2019-04-11,100.0,100.0
2019-04-12,100.0,100.0
2019-04-15,100.0,100.0
2019-04-16,100.0,100.0
2019-04-17,100.0,100.0
2019-04-18,100.0,100.0
2019-04-19,100.0,100.0
2019-04-22,100.0,100.0
2019-04-23,100.0,100.0
2019-04-24,100.0,100.0
2019-04-25,100.0,100.0
2019-04-26,100.0,100.0
2019-04-29,100.0,100.0
2019-04-30,100.0,100.0
2019-05-01,100.0,100.0
2019-05-02,100.0,100.0
2019-05-03,100.0,100.0
2019-05-06,100.0,100.0
2019-05-07,100.0,100.0
2019-05-08,100.0,100.0
2019-05-09,100.0,100.0
2019-05-10,100.0,100.0
2019-05-13,100.0,100.0
2019-05-14,100.0,100.0
2019-05-15,100.0,100.0
2019-05-16,100.0,100.0
2019-05-17,100.0,100.0
2019-05-20,100.0,100.0
2019-05-21,100.0,100.0
2019-05-22,100.0,100.0
2019-05-23,100.0,100.0
2019-05-24,100.0,100.0
2019-05-27,100.0,100.0
2019-05-28,100.0,100.0
2019-05-29,100.0,100.0
2019-05-30,100.0,100.0
2019-05-31,100.0,100.0
2019-06-03,100.0,100.0
2019-06-04,100.0,100.0
2019-06-05,100.0,100.0
2019-06-06,100.0,100.0
2019-06-07,100.0,100.0
2019-06-10,100.0,100.0
2019-06-11,100.0,100.0
2019-06-12,100.0,100.0
2019-06-13,100.0,100.0
2019-06-14,100.0,100.0
2019-06-17,100.0,100.0
2019-06-18,100.0,100.0
2019-06-19,100.0,100.0
2019-06-20,100.0,100.0
2019-06-21,100.0,100.0
2019-06-24,100.0,100.0
2019-06-25,100.0,100.0
2019-06-26,100.0,100.0
2019-06-27,100.0,100.0
2019-06-28,100.0,100.0
2019-07-01,100.0,100.0
2019-07-02,100.0,100.0
2019-07-03,100.0,100.0
2019-07-04,100.0,100.0
